"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","id","name","label"
0.61,0.704,0,-12.56,1,0.0291,0.000136,0.96,0.0999,0.172,129.011,"1s8U4fT4NbsyWkH3zhXQJX","A Paw In My Face","bleeps"
0.344,0.598,1,-8.351,0,0.0497,0.00168,1.86e-05,0.128,0.411,106.483,"1fCdWBo2sNXOeIS23xl6u6","If I Stay a Minute","bleeps"
0.712,0.644,10,-11.184,0,0.046,0.763,0.878,0.101,0.388,122.978,"30sg5TXrB6tgCdvzpvhRg1","Nuits Sonores","bleeps"
0.647,0.836,0,-9.045,1,0.0601,0.742,0.927,0.0847,0.624,119.949,"6CUxhtTkH0fSwfmsiOKPNV","XMAS_EVET10 [120][thanaton3 mix]","bleeps"
0.784,0.24,10,-13.463,0,0.062,0.154,0.7,0.116,0.37,120.001,"2TDw20OyLLx8jAIALiHz2G","Audio Track 5","bleeps"
0.674,0.52,6,-10.801,0,0.037,0.0172,0.486,0.0838,0.687,122.994,"24C4zTyfbeeFoegs4VjgwW","Truth Is Light","bleeps"
0.151,0.442,9,-14.097,0,0.035,0.924,0.761,0.0807,0.143,89.994,"30WVqM2FII4SaQ5dPXD47X","A Tergo Real","bleeps"
0.26,0.455,2,-12.236,0,0.0449,0.0235,0.953,0.146,0.0279,100.697,"4CMPP9drjVIOo8sH3g5mLL","Boring Angel","bleeps"
0.165,0.177,6,-18.8,1,0.0429,0.621,0.0277,0.108,0.0392,68.281,"3lLcEArhIl5jYJYNnV7Xph","Screen","bleeps"
0.723,0.679,10,-8.039,1,0.0424,0.394,0.904,0.101,0.105,119,"2fYHpxxWQEWI0YE8BUGNlk","XT","bleeps"
0.457,0.783,6,-6.381,0,0.037,0.187,0.694,0.611,0.246,120.062,"58mbLJgblnVFj4eIcDVHSA","Stunts","bleeps"
0.323,0.323,8,-16.604,1,0.0299,0.889,0.209,0.119,0.705,182.047,"00UDD8mjooNiezsxVRCYWX","Limerence","bleeps"
0.148,0.167,4,-18.586,0,0.0363,0.591,0.742,0.0902,0.0377,67.905,"3klBAH0wi8hR1kvRmiHRvw","Piel","bleeps"
